a-u-ma tryakṣaraṃ saṃkhyaṃ | JñS_26.11s-c
bhāryyā vyaktaṃ guṇāḥ putrā | MJ_05s-a
bhuktaṃ tu vaidhatarpaṇam | GpT_57s-b
bhuvanasya śarīrasya | GpT_40s-c
bhuvanasya śarīrasya | JñS_19.01s-c
bhuvane yadyāti sadā | VpT_72s-b
bhuvarlokas tu vāmake | JñS_26.06s-b
bhūtānāṃ ca śarīreṣu | JñS_26.17s-c
bhūrlokaś ca bhuvarlokaḥ | JñS_26.05s-a
bhūrloko dakṣiṇapāde | JñS_26.06s-a
bhoktā tejodhiko 'paraḥ | JñS_12.10s-b
bhogeṣu copabhogeṣu | VpT_28s-a
bhrūmadhye bhagavān rudraḥ | JñS_10.14s-a
bhrūmadhye maṇīndranīlaṃ | MJ_37s-a
makāraṃ ca trayomātraṃ | JñS_11.01s-c
makāraṃ caiva lopyaṃ ca | JñS_18.09s-a
*makāraś ca jāyate | JñS_18.08s-b
makāraś ca tathaiva ca | GpT_38s-b
makāraś ca tathaiva ca | JñS_18.11s-b
makāraś ca suṣuptaṃ bho | MJ_70s-c
makāraś caiva jāyate | GpT_35s-b
makāras trimātro jñeyo | JñS_11.13s-c
makārasya vilopena | GpT_36s-a
makārāukāra eva ca | JñS_10.06s-b
makārākṣaro mūrtimān | JñS_10.12s-d
makārāj jāyate 'kāra | GpT_37s-a
makārāj jāyate' kāra | JñS_18.10s-a
makāre pravartātmā ca | JñS_12.12s-c
makāraiva pralīyate | JñS_18.12s-b
makāro īśvaro madhye | JñS_26.12s-c
makāro pralīnam etat | GpT_39s-c
makāro bindausaṃlīno | GpT_51s-c
makāro rakāraś ca tu | JñS_12.08s-c
makāro vindau saṃlīnaḥ | JñS_03.01s-c
makāro vindau saṃlīno | JñS_18.12s-c
madhuratvaṃ suveṣatā | VpT_17s-d
madhyāhne svapna eva ca | MJ_43s-b
manaḥ kaivalyaṃ vijñeyaṃ | MJ_72s-a
mananī dhāvanī śubhā | JñS_11.15s-d
manas tu narmadātīrthaṃ | JñS_24.04s-a
manasaḥ pravimucyate | MJ_65s-b
manasaḥ śuddhakarmaṇaḥ | JñS_25.03s-b
manuṣyānāṃ tathāpare | JñS_26.02s-d
mano gandhaṃ manaḥ puṣpaṃ | JñS_10.03s-a
mano daśadiśi gataṃ | MJ_03s-c
mano dhūpaṃ manaḥ kriyā | JñS_10.03s-b
mano buddhir ahaṅkāraḥ | JñS_26.14s-a
mano buddhir ahaṅkāro | MJ_14s-a
mano buddhiś ca dve hale | MJ_05s-b
mano brahmanāmākhyataṃ | JñS_26.13s-a
mano līnaṃ paraṃ śuddhaṃ | JñS_19.06s-c
mano līnaṃ pariśuddhaṃ | GpT_44s-c
manojñānaṃ tu vijñāya | MJ_13s-c
manonmanī tathaiva ca | JñS_12.05s-b
mantā boddhā tathā śṛṇu | VpT_63s-c
mantraṃ vedanīyaṃ bhasma | JñS_25.12s-c
malinatvaṃ tamomayam | JñS_23.02s-b
malinatvacittamokṣaḥ | JñS_19.05s-a
mastake cavido viduḥ | MJ_71s-d
mahadahaṅkāramanas | JñS_11.14s-e
maharloko janalokas | JñS_26.05s-c
mahas tu dakṣiṇahaste | JñS_26.07s-a
mahājīvo maheśvaraḥ | MJ_54s-b
mahājñāne mahākathāṃ | MJ_85s-a
mahājñāne mahāguhyaṃ | MJ_84s-a
mahājñāne mahātattvaṃ | MJ_86s-a
mahādevaś ca rudrakaḥ | JñS_10.05s-b
mahādevādhidevas tu | JñS_12.24s-c
mahāpātakanāśāya | GpT_55s-b
mahāvinduḥ ṣaḍaṃśakaḥ | JñS_09.04s-d
mahāsarvajñātā smṛtaḥ | JñS_11.12s-b
mahāsūkṣmaḥ śivo jñeyaḥ | JñS_09.06s-c
mahimā tena procyate | VpT_69s-d
mahimā prāptir eva ca | VpT_66s-b
maheśvaraḥ tayor madhye | JñS_16.12s-c
maheśvaras tu madhyastho | GpT_21s-c
maheśvarasamudbhavau | MJ_59s-c
māṃse kurakura kukṣe | JñS_12.28s-a
mātaraṃ pitaraṃ hatvā | MJ_06s-a
mātaraṃ prakṛtiṃ vidyāt | MJ_07s-a
*māyāṃ vidadhe raviḥ | MJ_33s-d
*mārgacalananāḍī | GpT_45s-c
*mārgacalananāḍī | GpT_47s-c
mārgaś ca calananāḍī | JñS_20.01s-c
mārgaś ca calananāḍī | JñS_20.03s-c
mukta eva prakīrtitaḥ | GpT_44s-d
muktaḥ paramakevalaḥ | JñS_20.01s-d
muktāḥ paramakevalāḥ | GpT_45s-d
mukto bhavati tatsamaḥ | JñS_19.07s-b
mukhaṃ śāntiḥ śiraḥ vinduḥ | JñS_09.08s-c
mukhe cāhavanīyāgniḥ | JñS_25.10s-a
mukhe prāṇo hy adho 'pānaḥ | VpT_41s-a
muṅkārākṣaravinduṣṭho | JñS_12.24s-a
mucyate nātra saṃśayaḥ | MJ_12s-d
mucyate nātra saṃśayaḥ | MJ_63s-d
mucyate sarvvaduḥkhebhyaḥ | MJ_77s-d
munīnām ātmā devatā | JñS_16.07s-d
*munīnām ātmaiva devatā | GpT_16s-d
*munīnām ātmaiva devatā | MJ_26s-d
mūrdhānaṃ bāyunodbhidya | JñS_15.04s-c
mūrdhānaṃ vāyunodbhidya | GpT_06s-c
mūrdhānaṃ vāyunodbhidya | VpT_56s-c
mūrdhni caiva sthito devaḥ | JñS_10.16s-a
mṛtyum aparibhavati namo śivāyeti | JñS_25.21s-d
mṛdutā saṃvibhāvitvam | VpT_17s-b
mṛdupṛṣṭhāni kūrmmāṇāṃ | MJ_09s-c
medaḥ kṣīrasamanvitaṃ | JñS_24.06s-b
moktaṃ ca bhūtapiṇḍataḥ | JñS_21.02s-d
moktam eva prakīrtitam | JñS_19.06s-d
mokṣa eva prakīrtitaḥ | MJ_75s-d
mokṣa eṣa prakīrtitaṃ | MJ_67s-d
mokṣaḥ svargaś ca narakaṃ | VpT_16s-a
mokṣadaṃ tripadaṃ jñeyam | MJ_61s-b
mokṣadāmarā eva tu | JñS_11.11s-a
mokṣapadaṃ samāsādya | VpT_30s-c
mokṣapadam atindriyam | JñS_25.02s-b
mohaṃ mātsaryyam eva ca | MJ_76s-b
mohanī voḍhanī tathā | JñS_11.04s-d
ya va śi ma na cotpattiḥ | GpT_33s-a
ya-va-śi-ma-na cotpattir | JñS_18.06s-a
*yaj jñātvā śarīre 'smin | MJ_63s-c
yaj jñātvā śāntim āpnuyāt | MJ_79s-d
yajāmi satataṃ śivam | JñS_16.15s-d
yajāmi satataṃ śivam | GpT_24s-d
yajvā dhartā ca bhoktā ca | JñS_12.09s-a
yajvā samāne kūrmāre | JñS_12.11s-a
yajvātmā rakārākṣare | JñS_12.12s-b
*yat samādhis tan nigadyate | GpT_09s-d
*yatanāya nītyaddhaṃ | MJ_64s-d
yatnād gṛhhṇīta putrakāḥ | MJ_87s-d
yatra devaḥ sthito nityaṃ | MJ_35s-c
yatra yatra samudīkṣya | JñS_25.04s-c
yatrakāmāvasāyitvam | VpT_74s-b
yatrāsya deśe kanakastrīlābhaḥ | JñS_22.01s-b
yatrāsya deśe sabhayaṃ savairam | JñS_22.03s-b
yatraiva yad vaśitvaṃ syād | VpT_73s-a
yatraiva svecchayā gacchet | VpT_69s-a
*yathā ghṛtaṃ payasi vāri ca dāruṣu | JñS_25.05s-a
yathā janmani janmani | VpT_13s-d
yathā brāhmyaṃ vyatiṣṭhitam | JñS_07.01s-d
yathā śāsti tathā kuryyāt | MJ_78s-c
yathā sūḍhaṃ tathā labdhaṃ | MJ_77s-c
yathā svavṛttito yānti | MJ_81s-a
yathecchaṃ yatkṛtaṃ rūpaṃ | VpT_71s-c
yad ghṛtaṃ payasi hariś ca yaddāruṣu | VpT_49s-a
yad dhruvaṃ dhyāyate nityaṃ | JñS_15.03s-c
yad rūpaṃ dhyāyate nityaṃ | GpT_05s-c
yadrūpaṃ dhyāyate nityaṃ | VpT_55s-c
yamā rudreṇa bhāṣitāḥ | VpT_60s-d
yāti tenocyate 'ṇimā | VpT_67s-d
yugapad manojavitvaṃ | JñS_11.05s-a
yugapad vijñānaṃ cāpi | JñS_11.12s-a
yugāntaḥ svapna ityukto | MJ_30s-a
yugānto dakṣiṇāyanam | MJ_30s-b
yuṅkārākṣaravinduṣṭho | JñS_12.28s-c
yena tvam upabhūñjītāḥ | JñS_25.08s-a
yenottīrṇṇaḥ pārāvāro | MJ_74s-c
yo jñātatattvo 'saṃśayaṃ | MJ_73s-c
yo jñātā sa śivaṃ vrajet | JñS_19.01s-d
yo jñātā sa śivaṃ vrajet | GpT_40s-d
yo jñātvā devabhasmanaḥ | JñS_25.12s-d
*yo jñātvaitām ātmānañ caiva | MJ_53s-c
yo nāmāny abhikīrtayet | GpT_56s-b
yogaś cāpi samāsena | VpT_25s-c
yogena saha vindunā | JñS_17.02s-b
yojitaḥ saha bindunā | GpT_26s-b
yyo vetti sa raviṃ vrajet | MJ_04s-d
raktaṃ tu medinītattvam | JñS_11.02s-c
raktaṃ pitaṃ tathā kapham | VpT_43s-b
raktakaṃ māṃsasaṃyuktam | JñS_25.13s-c
raktakṛṣṇaṃ ca śvetam ca | JñS_10.09s-a
raktavarṇo caturbhujaḥ | JñS_10.10s-b
rajas tamo vṛttimana guṇāni ca | JñS_25.05s-d
rajastamo 'dṛśyaṃ mano nare san na sat | VpT_49s-c
ratnaliṅgasahasrāṇi | MJ_24s-a
ratha indriyāṇīty uktaḥ | MJ_15s-a
ramayan sacarācaram | VpT_02s-d
raviṃ agniḥ śivaś cāgniṃ | JñS_18.02s-c
ravim agniḥ śivaś cāgniṃ | GpT_29s-c
raviś ca puruṣas tathā | MJ_12s-b
raviś ca puruṣas tathā | MJ_83s-b
raveś cāgniś ca jāyate | JñS_18.01s-d
raveś cāgniś ca jāyate | GpT_28s-d
ravyagnyor api saṃyoga | GpT_31s-c
ravyagnyor api saṃyogād | JñS_18.04s-c
raśma yo hi harer iva | MJ_19s-d
raso gandhaś ca kathyate | VpT_64s-b
rahasyaṃ paramaṃ śubham | GpT_40s-b
rahasyaṃ paramaṃ śubham | JñS_19.01s-b
rājasūyaś ca tūryyakam | MJ_48s-d
rājā bhavati vīryavān | JñS_16.11s-d
rājā bhavati vīryavān | GpT_20s-d
rājā bhavati vīryyavān | MJ_58s-d
rājābhiṣekagrahasādhanaṃ ca | JñS_22.02s-b
rātriś ca prakṛtir jñeyā | MJ_12s-a
rātriś ca prakṛtir jñeyā | MJ_83s-a
rātrau ca jāyate raviḥ | MJ_09s-d
rātryāṃ tūryyam ihocyate | MJ_43s-d
ruṅkārākṣaravinduṣṭhaḥ | JñS_12.25s-c
rudrarūpaḥ kāladharaḥ | MJ_51s-b
rudralokam avāpnuyāt | MJ_06s-d
rudralokam avāpnuyāt | MJ_08s-d
rudraloke tathā mātā | MJ_82s-a
rudrādhidevatā jñātvā | JñS_11.24s-a
rudhirekṣur vad aparam | JñS_24.06s-d
rūpaṃ nāyataḥ kāṅkṣiṇām | JñS_25.01s-b
rūparūpyādisambhandhād | JñS_25.17s-c
rūpī tvaṃ bhagavan śiva | JñS_25.17s-b
rocikā mocikā tathā | JñS_12.03s-d
la-va-y-ukāro daśadhā | JñS_12.08s-d
la-va-y-uṅ-kāre bhoktātmā | JñS_12.12s-a
Laghu prakāśakaṃ sattvaṃ | VpT_15s-a
laṅghayed brahmahatyaṃ ca | JñS_25.19s-a
labdhā bhedajñānaṃ śiṣyaḥ | JñS_19.03s-c
labdhvā bhedajñānaṃ śiṣyaḥ | GpT_42s-a
lalāṭasthaḥ śureśvaraḥ | JñS_11.24s-b
lalāṭe ca tailanibham | MJ_37s-b
lalāṭe caiva tūryyāntaṃ | MJ_42s-a
lavaṇaṃ svedam adhikaṃ | JñS_24.06s-a
lavaṇakṣīradadhikaḥ | JñS_24.02s-a
liṅgotpādaḥ śivārcayet | JñS_25.18s-b
liṅgotpādān nivartayet | JñS_25.19s-b
liṅgodbhavaṃ manas tiṣṭhec | MJ_25s-c
liṅgodbhavam manaḥsthitaṃ | GpT_15s-c
liṅgodbhāvo manaḥsthitaḥ | JñS_16.06s-c
līyate sarvabhūtānāṃ | GpT_11s-c
līyate sarvabhūtānāṃ | JñS_16.02s-c
līyate sarvvabhūtānāṃ | MJ_21s-c
luṅkārākṣaravinduṣṭhaḥ | JñS_12.26s-c
lokanāthaṃ śivālayam | JñS_16.01s-d
lokanāthaḥ śivālayaḥ | MJ_20s-d
lokanāthaśivālayam | GpT_10s-d
lokānāṃ ca hitārthāya | JñS_26.01s-c
lobhitvañ ca palatvañ ca | VpT_18s-c
lohadaṇḍena sakāśaḥ | JñS_12.22s-b
laukikaṃ kārayet pūrvaṃ | GpT_50s-a
laukikaṃ kārayet pūrvaṃ | JñS_01.01s-a
vakṣyāmi tava suvrate | JñS_26.01s-b
vacanāni suputraka | JñS_27.07s-d
vardhanī mocanī māyā | JñS_11.04s-c
vaśan vikṛtavinduṣṭho | JñS_12.14s-c
vaśitvaṃ yatrakāmatvam | VpT_66s-d
vaśitvād yatrakāmatā | VpT_73s-b
vaśyār avaśyām ucyate | JñS_11.18s-d
vājapeyaś ca svapnakam | MJ_48s-b
vāmabāhau sthito viṣṇur | JñS_16.12s-a
vāme bāhau sthito viṣṇur | GpT_21s-a
vāme bāhau sthito viṣṇur | MJ_59s-a
vāyuṃ bahiḥ prayacchati | GpT_06s-b
vāyubhiḥ pañcabhiḥ saha | MJ_14s-b
vāyubhūtaś carācare | MJ_52s-d
vāyuragniś ca jāgṛtaḥ | MJ_03s-b
vāyurantarnigṛhyate | VpT_56s-b
vārdhakyaṃ tena vāyunā | VpT_45s-d
vāhyākṛtajño ghāṇārogākāśaḥ | JñS_22.01s-a
vāhyāntare māsadivāsayuktam | JñS_22.01s-d
vikasitaiḥ sugandhibhiḥ | GpT_24s-b
vikasitaiḥ sugandhibhiḥ | JñS_16.15s-b
vikṛto mantrasaṃsthitaḥ | JñS_12.14s-d
vighnanāśo bhaved dṛṣṭa | JñS_12.20s-c
vicāragato te ātmā | GpT_20s-a
vicāragato te ātmā | JñS_16.11s-a
vijayā saumyāṃśu saṃjñā | JñS_11.04s-a
vijñeyā sahaṣaṇmukhe | JñS_26.03s-d
vidyā śāntiḥ parāparaḥ | JñS_09.04s-b
vidyā śāntiś ca prakārāḥ | JñS_11.22s-d
vinduḥ saṃhṛtyā nādena | JñS_17.02s-c
vindum abhyantaraṃ trayaṃ | JñS_26.11s-b
vindumūrtir nirakṣaraḥ | JñS_10.15s-d
vindur nāde pralīyate | JñS_03.01s-d
vindur nāde pralīyate | JñS_18.12s-d
vinduś ca līyate nāda | JñS_17.03s-c
vindoś candraḥ samudbhūtaḥ | JñS_17.01s-c
vindau candraś ca līyate | JñS_17.03s-b
vipātaḥ śūnyakevalaḥ | JñS_21.01s-d
viphalaḥ śūnyaḥ kevalaḥ | GpT_49s-d
vimalaṃ śāntarūpakam | JñS_23.03s-b
vimalatvād anāmayam | VpT_08s-d
vimuktaḥ tiktasaṃsthānād | JñS_21.01s-a
vimuktaḥ paramaśivaḥ | JñS_20.04s-b
vimuktaḥ paramah śivah | GpT_48s-b
vimuktas tyaktasaṃsvano | GpT_49s-a
viyoktrī retavāhinī | JñS_11.16s-b
virocanakaro nityaḥ | VpT_12s-c
viśvah pralīyate candre | GpT_27s-a
viṣayā bhogavat sukham | VpT_35s-d
viṣayebhyaḥ prayatnataḥ | JñS_15.02s-b
viṣayebhyaḥ prayatnataḥ | VpT_54s-b
viṣayebhyo hi yatnataḥ | GpT_04s-b
*viṣṇupi cetavuno | GpT_21s-d
viṣṇuś caiva śivo brahmā | JñS_26.15s-a
vuṅkārākṣaravinduṣṭho | JñS_12.27s-c
vṛttis tu mādanātmikā | JñS_11.04s-b
vṛddho vṛddhataraḥ smṛtaḥ | JñS_27.03s-d
vṛṣabho vā pitāmahaḥ | MJ_16s-b
vṛhaspatim uvāceti | VpT_01s-c
*vṛhaspatir iha kathyate | VpT_50s-c
vaitālaṃ ca hy upasthaś ca | JñS_24.09s-b
vairāgyāt prakṛtau līnaḥ | VpT_31s-a
vairāgyāditraye tattvaṃ | JñS_19.07s-c
vyaktaṃ ca prakṛtiṃ vidyād | MJ_80s-a
vyaktāvyaktaṃ parityajed | JñS_08.07s-c
vyaktāvyakte parityājye | MJ_84s-c
vyānaḥ sarvāṅgasandhiṣu | VpT_41s-d
vyāno bhinnaḥ samākhyāto | VpT_45s-a
vyāno vyādhiprakopanaḥ | VpT_45s-b
vyāpakatvāc ca sarvagam | VpT_09s-b
vyāpi tiṣṭhati nityaśaḥ | JñS_25.02s-d
vyāpī ca sarvadeheṣu | JñS_12.29s-a
vyāpto hi sarvvabhāveṣu | MJ_01s-a
vyāpnoti sarvatattveṣu | VpT_06s-c
vyo-ma-vyā-pi-ne-mātrakaḥ | JñS_13.02s-d
vyomanirmalasannibham | JñS_08.05s-d
śakaṭaṃ viṣṇur ityuktaṃ | MJ_16s-a
śakaṭopamaṃ pradhānaṃ | TJ_27s-a
śakaṭopamaṃ pradhānaṃ | VpT_34s-a
śaktivīryālokaśriyai | GpT_01s-d
śaktivīryālokaśriyai | GpT_59s-c
śaṅkhacakragadāhastaḥ | MJ_50s-c
śaṃkhinī daśamā smṛtā | VpT_38s-b
śataṃ tu vibhāgāḥ sṃṛtāḥ | JñS_12.29s-d
śataṃ smaranti māṃ pare | MJ_29s-b
śabdaḥ sparśaś ca rūpañ ca | VpT_64s-a
śabdādigandhaparyantaṃ | JñS_11.03s-c
śarīraṃ kuṇḍam ity uktaṃ | JñS_10.02s-a
śarīraṃ tasya vāgdagdhaṃ | MJ_65s-c
śarīraṃ nagaraṃ tathā | MJ_08s-b
śarīraṃ bhasmabhājanam | JñS_25.11s-d
śarīraṃ bhasmam ityuktaṃ | JñS_25.12s-a
śarīraṃ sūkṣmam ucyate | MJ_14s-d
śarīrāyatane divye | GpT_18s-c
śarīrāyatane divye | GpT_19s-c
śarīrāyatane divye | JñS_16.09s-c
śarīrāyatane divye | JñS_16.10s-c
śarīrāyatane divye | MJ_56s-c
śarīrāyatane divye | MJ_57s-c
śarīre 'sti śarīreṣu | JñS_12.23s-b
śarīre 'smin śarīriṇām | MJ_01s-b
śarīre ca cārācāram | JñS_23.01s-d
śarīre deśe kuṇḍasmin | JñS_10.01s-c
śarīre mama guhyakam | JñS_26.02s-b
śarvvo vṛṣabhavāhanaḥ | MJ_51s-d
śāntena manasāhṛtya | JñS_15.02s-c
śāntena manasāhṛtya | VpT_54s-c
śāntena manasoddhṛtya | GpT_04s-c
śi va ma na ya ca sthitiḥ | GpT_33s-b
śi-va-na-ma-ya līnaṃ tu | JñS_18.06s-c
śirasi paraṃ kaivalyaṃ | MJ_42s-c
śiromadhye nirañjanam | MJ_37s-d
śilākhaṇḍaṃ ca lokānāṃ | GpT_16s-c
śilākhaṇḍaṃ ca lokānāṃ | MJ_26s-c
śilāliṅgasahasrāṇi | JñS_16.04s-a
śiva utpattir eva ca | JñS_26.14s-b
śiva paramamādṛtya | VpT_51s-c
śivaḥ tiṣṭhati nityaśaḥ | JñS_16.13s-b
śivakāraṇakāraṇam | JñS_08.02s-b
śivajñānam anopamam | JñS_08.01s-b
śivatattvam anuttamam | VpT_01s-d
śivatattvam idam uktaṃ | VpT_10s-c
śivatattvam paraṃ guhyaṃ | JñS_08.01s-a
śivadvāre 'ntare bhruvaḥ | JñS_12.15s-b
śivapṛṣṭhā ca śrotre ca | JñS_24.05s-c
śivabhāvād nirantaram | JñS_09.05s-b
śivaliṅgaṃ na tatsamam | JñS_16.05s-d
śivaliṅgaṃ mahottamaṃ | JñS_16.06s-d
śivaliṅgaṃ mahottamam | GpT_15s-d
śivaliṅgasahasraṃ tu | MJ_23s-a
śivaliṅgasahasrāṇi | GpT_13s-a
śivaliṅgān na tatsamam | GpT_14s-d
śivaliṅgān na tatsamam | MJ_24s-b
śivalokam avāpnuyāt | GpT_55s-d
śivaś cintāmaṇir yathā | VpT_65s-d
śivas tiṣṭhati nityataḥ | GpT_22s-b
*śivasya ramate tatremāṃ | MJ_33s-c
śivāṅgaṃ cāṃṛtaṃ tathā | JñS_12.01s-d
śivāṅgapranavo jñeyaḥ | JñS_12.06s-a
śivād utpadyate cātmā | GpT_28s-a
śivād utpadyate cātmā | JñS_18.01s-a
śive cātmā pralīyate | JñS_18.03s-d
śive cātmā pralīyate | GpT_30s-d
śivena parameśinā | VpT_14s-b
śivena paribhāṣitāḥ | VpT_40s-d
śivo brahmā hariś caiva | JñS_26.16s-a
śivo vā samudāhṛtaḥ | MJ_55s-b
śivo vīje mukhe cāgniḥ | JñS_25.07s-a
śiṣyānugrahabodhane | MJ_85s-c
śīlaṃ yajñas tapo dānaṃ | VpT_25s-a
śīlākaṣṭhaṃ ca lokanāṃ | JñS_16.07s-c
śukra ārānta sakāśaś | JñS_12.16s-c
śukramūtre hy adhovāyur | VpT_42s-a
śuklavarṇṇaṃ bhavej jāgrat | MJ_44s-a
śuddhaḥ sūkṣmaś cāyaṃ yogī | GpT_44s-a
śuddhajñānāc ca mokṣaṇam | GpT_44s-b
śuddhapūrṇaśarīriṇam | GpT_57s-d
śuddham eva viśiṣyate | JñS_08.09s-d
śuddhasūkṣmasvayambhogi | JñS_19.06s-a
śudhajñānaṃ ca mokṣaṇam | JñS_19.06s-b
śūddhacittam anupamam | JñS_10.03s-c
śūdram indriyam ity āhur | VpT_35s-c
śūnyaṃ ca paramaḥ śivaḥ | MJ_83s-d
śūnyaṃ sunirmalaṃ paśyet | JñS_25.03s-a
śūnyac cātyantaśūnyaṃ ca | JñS_16.14s-c
śūnyam eva tu jāyate | JñS_03.02s-b
śūnyam eva tu jāyate | JñS_17.04s-b
śūnyam eva paraṃ khyātaṃ | GpT_48s-c
śūnyam eva paraṃ khyātaṃ | JñS_20.04s-c
śūnyam evaṃ tu jāyate | GpT_52s-b
śūnyaśūnyāntare tathā | MJ_86s-d
śūnyastham anantaṃ viduḥ | MJ_38s-d
śūnyākhya ity anuccāryo | JñS_09.03s-c
śūnyāc chūnyataraṃ vāpi | JñS_17.04s-c
śūnyāc chūnyataram vāpi | JñS_03.02s-c
śūnyāt parataram vāpi | GpT_52s-c
śūnyātiśūnyaṃ cintyate | GpT_23s-c
śūnyātmā na ca śṛṇoti | GpT_07s-c
śūnyātmā paramaśivaḥ | JñS_10.16s-b
śūnyātmā śrūtaye nāsti | JñS_15.05s-c
śūnyātmā saptabhedakam | JñS_10.04s-d
śṛṇuṣva sahaṣaṇmukhe | JñS_26.01s-d
śaivaṃ sūkṣmaṃ paraṃ padam | MJ_63s-b
śokitā bhūktā caiva a- | VpT_19s-c
śaucam āhāralāghavam | VpT_61s-b
śraddadhāno jitendriyaḥ | JñS_19.03s-d
śraddhādhano jitendriyah | GpT_42s-b
śravaṇaṃ mananaṃ tathā | JñS_11.11s-d
śrāvanā śrāvanī jagrā | JñS_11.15s-a
śrotrādicakṣuparyantaṃ | JñS_11.08s-a
śvāso niḥśvāsaḥ samyoga | GpT_02s-a
śvāso niḥśvāsaḥ samyoga | JñS_14.01s-a
śvetaṃ ca bāyutattvaṃ hi | JñS_11.24s-c
śvetaṃ raktaṃ ca pītakam | JñS_25.11s-b
śvetakam asthisaṃyuktaṃ | JñS_25.13s-a
śvetarūpaṃ ca siddhāntaṃ | JñS_25.01s-a
ṣaḍaṃśa iti kathyate | JñS_09.06s-d
ṣaḍaṅgam iti kathyate | JñS_15.01s-d
ṣaḍaṅgam iti kathyate | GpT_03s-d
ṣaḍango yoga ucyate | VpT_53s-d
ṣaḍvargarahitaḥ śivaḥ | JñS_25.06s-d
ṣaṣṭiṃśadvibhāgaḥ smṛtah | JñS_12.25s-d
ṣoḍaśanāḍīr ucyate | JñS_11.11s-b
sa eko bhagavān śarvaḥ | JñS_08.02s-a
sa jñānādhikārāj jñeyaḥ | MJ_73s-a
sa tataś cintāḥ pṛṇāti | VpT_65s-c
sa tarka iti kathyate | VpT_58s-d
sa punar dvividho bhavet | JñS_09.01s-b
sa mātā sa pitā mataḥ | VpT_13s-b
sa mucyate vai janmanaḥ | MJ_13s-d
sa mocakaḥ sarvaduḥkhād | VpT_13s-c
sa rāṣṭraṃ nagaraṃ hatvā | MJ_06s-c
sa vaktā hy upadeśānām | MJ_78s-d
*sa sadyodṛṣṭamaheśvaraḥ | MJ_73s-d
saṃvartaḥ pittake sthitaḥ | JñS_25.10s-d
saṃsāraś ca carācaraḥ | MJ_27s-d
saṃsārasāgare ghore | MJ_64s-a
saṃsārasāgare ghore | MJ_74s-a
saṃsthito 'pi dhanañjayaḥ | JñS_12.29s-b
saḥ pravartātmakaś caiva | JñS_12.10s-c
sakalaṃ sakalatattvam | GpT_53s-a
sakalaḥ kevalaḥ śuddhaḥ | JñS_19.04s-c
sakalaḥ kevalaśuddhas | GpT_43s-a
sakalaniṣkalaṃ tyaktvā | JñS_08.04s-c
sakalaniṣkalaṃ tyaktvā | JñS_08.07s-a
sakalaniṣkalas tathā | JñS_09.01s-d
sakāro dakṣiṇe pāde | JñS_26.08s-a
sakṛt smaranti māṃ kecit | MJ_29s-a
saṃkalpo boddhavyaṃ tathā | VpT_64s-c
saṃkālasaṃkhyam uttamam | MJ_27s-b
saṃkāsya yuddhe grahaṇāya nāmya | JñS_22.01s-c
saṅgrāmavijayī bhavet | GpT_56s-d
sattvaṃ kasmāt saṃyuktaṃ vā | VpT_21s-c
sattvaṃ caiva maheśvaraḥ | MJ_72s-d
sattvānāṃ caiva devānāṃ | JñS_26.02s-c
satyam avyavahārikam | VpT_60s-b
satyalokaḥ śiraḥ smṛtaḥ | JñS_26.07s-d
sadasadbhāvarahitaṃ | VpT_48s-c
sadādhikāram īśvaram | JñS_08.06s-d
sadāśivaḥ paraṃśarva | JñS_10.05s-c
sadāśivaḥ śikhāntare | JñS_12.02s-d
sadāśivasya yo mārgaḥ | JñS_20.03s-a
sadāśivasya yo mārgah | GpT_47s-a
sadbhāvena parityaktam | VpT_48s-a
*sadyaḥ rasurupaṃ śivamabhyaṃ masyāt | MJ_18s-d
santālaṃ caiva vaitālaṃ | JñS_24.03s-c
sapadaḥ saguṇo vyāpī | VpT_11s-c
saptaṃ ca bhedalakṣaṇam | JñS_23.01s-b
saptatiṃśat tu vibhāgāḥ | JñS_12.26s-d
saptatīrthāḥ prakirtitāḥ | JñS_24.05s-d
saptatīrthāḥ śarīreṣmin | JñS_26.03s-a
saptadvāre bhrūmadhye ca | JñS_10.07s-b
saptadvāre mahādevaḥ | JñS_10.13s-a
saptadvīpapramāṇaṃ ca | JñS_16.11s-c
saptadvīpapramāṇaś ca | GpT_20s-c
saptadvīpapramāṇaś ca | MJ_58s-c
saptadhā bhedalakṣaṇam | JñS_26.09s-d
saptapātālā eva ca | JñS_26.03s-b
saptalokān tu vakṣyāmi | JñS_26.04s-c
saptāuṅkāramayo vahnir | JñS_10.02s-c
saptāumkāro hutāśanaḥ | JñS_10.01s-b
saptākāśam ity ucyate | MJ_39s-d
saptākṣaraṃ ca siddhāntaṃ | JñS_26.02s-a
saptāṅgaṃ tu śṛṇūcyate | VpT_62s-d
saptātmā yajamānaś ca | JñS_10.01s-a
saptāmṛtaṃ nigadyate | VpT_64s-d
saptārṇavā mahadevī | JñS_26.03s-c
saphalaṃ tasya jīvitam | JñS_27.06s-d
samatvaṃ rajasaḥ proktaṃ | VpT_21s-a
samākhyāhi tattvaṃ sarvaṃ | VpT_02s-c
samādhis tu nigadyate | JñS_15.07s-d
samādhis tena kathyate | VpT_59s-d
samānagatir gātreṣu | VpT_43s-c
samāno nāma mārutaḥ | VpT_43s-d
samāno hṛdaye sthāpyaḥ | JñS_12.19s-a
samāno hṛdi saṃsthitaḥ | VpT_41s-b
samāptā iha saṃśayāḥ | MJ_86s-b
