aṃśaṃ śūdrāsuto haret | Manu_9.151d
dṛśyamānā vibhajyante | BrhS_1.26.40c
dṛśyamānā vibhajyante | Kāty_842c
dṛśyād vā tad vibhāgaḥ syād | YajñS_2.122c
dṛśyete sahitau yasyāṃ | ViS_49.9a
dṛṣṭaṃ vairakaraṃ mahat | Manu_9.227b
dṛṣṭaṃ saṃgrahaṇaṃ tajjñair | NarS_v12.60c
dṛṣṭaḥ pañcavidho budhaiḥ | NarS_v1.137b
dṛṣṭam anyena paśyati | YajñS_3.149d
dṛṣṭamātrāḥ punanty ete | ParS_12.47c
dṛṣṭamātrāṇi cettadā | Ang_1.1017b
dṛṣṭamātre tu tasmāttu | Ang_1.552c
dṛṣṭamātre 'thavā bhaktyā | Ang_1.550c
dṛṣṭamātrairbālya eva | Ang_1.1049a
dṛṣṭavāṃs tāṃ ca kaśyapaḥ | ViS_1.21d
dṛṣṭaś cet prāṇibhir naraḥ | Kāty_445b
dṛṣṭaśrutānubhūtatvāt | NarS_v1.127c
dṛṣṭāgniṃ hūyamānaṃ tu | Ang_2.9.14c
dṛṣṭāntatvena śāstrānte | Kāty_945a
dṛṣṭiḥ śrotrajñatā tathā | YajñS_3.202b
dṛṣṭipātaṃ praṇālīṃ ca | Brh_1.19.48c
dṛṣṭipātaṃ praṇālīṃ ca | Kāty_753c
dṛṣṭipūtaṃ nyaset pādaṃ | Manu_6.46a
dṛṣṭe patre sphuṭān doṣān | Kāty_298a
dṛṣṭvā kanyāṃ rajasvalām | ParS_7.7b
dṛṣṭvā kanyāṃ rajasvalām | YamS-78v_23d
dṛṣṭvā kanyāṃ rajasvalām | YamS-182v_3.22d
dṛṣṭvā kāryaṃ punaḥ punaḥ | Kāty_372b
dṛṣṭvā jyotirvido vaidyān | YajñS_1.333a
dṛṣṭvā taṃ samupasthitam | Ang_2.2.9b
dṛṣṭvā nārī pativratā | Ang_1.993b
dṛṣṭvāpatyaṃ tu śūdrāyāṃ | YamS-s_2.65a
dṛṣṭvā pathi nirātaṅkaṃ | YajñS_3.245c
dṛṣṭvā bījāni bhaktitaḥ | Ang_1.556b
dṛṣṭvārkaṃ ca natastūṣṇīṃ | Ang_1.559c
dṛṣṭvā lokam anākrandaṃ | ViS_20.38a
dṛṣṭvā vibhūtiṃ paramām | Ang_1.573a
dṛṣṭvā śriyaṃ devadevasya viṣṇor | ViS_99.1a
dṛṣṭvā sadyaḥ śucir bhavet | ParS_5.7d
dṛṣṭvā sadyaḥ śucir bhavet | YamS-182v_1.2d
dṛṣṭvā sadyo mahāmanāḥ | Ang_1.548d
dṛṣṭvā samāgataṃ pāpaṃ | Ang_1.626c
dṛṣṭvā samādāyaitāni | Ang_1.560c
dṛṣṭvā hṛṣyanti mānavāḥ | Manu_9.309b
dṛṣṭvā hṛṣyet prasīdec ca | Manu_2.54c
dṛṣyate yasya tasya svaṃ | YamS-s_2.36c
deyaṃ yat tu pratiśrutam | Kāty_564b
deyaṃ yad atiricyate | BrhS_1.14.3b
deyaṃ vā dhanine dhanam | NarS_v1.111d
deyaṃ vā na prayacchati | BrhS_1.1.3b
deyaṃ vā na prayacchati | Kāty_028b
deyaṃ vā na prayacchati | Kāty_103b
deyaṃ vā niḥsvavṛddāndha | BrhS_1.17.24a
deyaṃ vā niḥsvavṛddhārta | BrhS_1.10.34c
deyaṃ vidyādhanāt kvacit | Kāty_875b
deyaṃ vaidyena tad dhanam | Kāty_875d
deyaṃ śaktyānupūrvaśaḥ | YajñS_1.107b
deyaṃ sabhyena tat tadā | Kāty_081b
deyaṃ syād bhinnabhājane | Manu_10.54b
deyaḥ kālas tu sākṣiṇām | Kāty_341b
deyaḥ krauñce trihāyanaḥ | YajñS_3.271d
deyaṃ kālaḥ pareṇa tu | Kāty_148d
deyaṃ caurahṛtaṃ dravyaṃ | YajñS_2.36a
deyatvāc ca mahātmanām | NarS_v18.39b
deyaṃ tat samayād ṛte | Kāty_712d
deyaṃ tatsvāmine tadā | Kāty_558d
deyaṃ taddhanike dravyaṃ | Kāty_559c
deyaṃ tadbandhubhir matam | Kāty_864d
deyaṃ tair eva tad bhavet | Kāty_674d
deyaṃ dadyāc ca tatkṛtam | NarS_v17.2b
deyaṃ dadyāt svayaṃ nṛpe | Kāty_936b
deyaṃ dārasutād ṛte | YajñS_2.175b
deyam annaṃ sadakṣiṇam | Manu_11.3b
deyam apy anvahaṃ jalam | YajñS_1.104b
deyam ekaṃ trimāsataḥ | BrhS_1.26.84d
deyam ekavidhaṃ smṛtam | NarS_v4.03b
deyam etad dhimāgame | NarS_p20.32d
deyam evam ṛṇaṃ sadā | BrhS_1.10.113d
deyaṃ pakṣatrayaṃ param | Kāty_532b
deyaṃ putrakṛtaṃ tat syād | Kāty_579a
deyaṃ paitāmahaṃ samam | Kāty_556d
deyaṃ paitāmahaṃ tu tat | Kāty_554b
deyaṃ pautrais tu tadbhṛguḥ | Kāty_555d
deyaṃ pratiśrutaṃ yat syāt | Kāty_544c
deyaṃ pratiśrutaṃ caiva | YajñS_2.176c
deyaṃ bhāryākṛtam ṛṇaṃ | Kāty_578a
deyaṃ mayeti vaktavye | Kāty_180a
deyānādeyayor vāpi | BrhS_1.10.98c
deyāpradānaṃ hiṃsā cety | Kāty_030c
deyo 'ṃśaḥ sahakartṛbhiḥ | Manu_8.206d
deyo yojanasaṃkhyayā | Kāty_615d
devakanyās tu taṃ vīraṃ | ParS_3.34c
devakrodhāt tathaiva ca | NarS_v12.12d
devatāgārabhedakān | Manu_9.280b
devatātithipūjakaḥ | ParS_1.38b
devatātithipūjanam | ParS_1.39b
devatātithibhṛtyānāṃ | Manu_3.72a
devatātithibhṛtyānāṃ | ViS_59.25a
devatānāṃ guro rājñaḥ | Manu_4.130a
devatānāṃ ca kutsanam | Manu_4.163b
devatānāṃ ca pūjanam | Manu_4.152d
devatānāṃ pitṝṇāṃ ca | YamS-99v_98a
devatāpitṛpādāś ca | NarS_p20.2c
devatābhir adhiṣṭhitam | ParS_11.38d
devatābhyarcanaṃ caiva | Manu_2.176c
devatābhyas tu tad dhutvā | Manu_6.12a
devatāyatanāgrataḥ | ParS_8.30b
devatāyatanāni ca | BrhS_1.19.4d
devatāyatanāni ca | NarS_p19.8b
devatāyatanāni ca | Manu_8.248d
devatāyatanāni ca | YamS-99v_70b
devatāyatanāvṛtam | ParS_1.7b
devatāyataneṣu ca | ViS_91.19b
devatārādhanaṃ tathā | YamS-182v_4.22b
devatārthaṃ haviḥ śigruṃ | YajñS_1.171a
devatāsahitānyapi | Ang_1.681b
devatāsnānapānīya | Kāty_453a
devatīrthāny anukramāt | YajñS_1.19d
devatvaṃ sāttvikā yānti | Manu_12.40a
devatve yātanāsthāne | ViS_20.35a
devadattāṃ patir bhāryāṃ | Manu_9.95a
devadānavagandharvā | Manu_7.23a
devadāruvanālaye | ParS_1.1b
devadevam abhāṣata | ViS_1.48b
devadeve janārdane | ViS_1.19b
devadroṇyas tathaiva ca | YamS-99v_69d
devadrohī śrutidrohī | Ang_1.605a
devanaṃ jihmakāritam | NarS_v17.1b
devanadyor yad antaram | Manu_2.17b
devanāpitṛbhūtānāṃ | Ang_2.12.14a
devanāmānyanantāni | Ang_1.163a
devaṃ tribhuvaneśvaram | Ang_2.1.1b
devapūjāvidhānataḥ | Ang_1.784d
devabrahmasvayonyas tu | YamS-s_2.29a
devabrāhmaṇapādāś ca | BrhS_1.8.33c
devabrāhmaṇapūjanam | ViS_2.17b
devabrāhmaṇarājñāṃ ca | NarS_v14.15c
devabrāhmaṇasannidhau | Ang_1.388b
devabrāhmaṇasaṃnidhau | BrhS_1.8.89b
devabrāhmaṇasaṃnidhau | NarS_p20.38d
devabrāhmaṇasaṃnidhau | ViS_9.33d
devabrāhmaṇasāṃnidhye | Manu_8.87a
devabrāhmanasānnidhye | Kāty_344a
devamānuṣikaṃ jagat | ViS_95.15b
devaṃ pitryaṃ tayor adhaḥ | Manu_2.59d
devaraḥ putrakāmyayā | YajñS_1.68b
devaraṃ putrakāmyayā | NarS_v12.79d
devarāḥ pitṛbāndhavāḥ | Kāty_915b
devarājadhaneṣu ca | Kāty_330b
devarājapriyaḥ paṇaḥ | Ang_1.525d
devarājopaghātena | BrhS_1.11.11a
devarāj janayet sutam | NarS_v12.83b
devarād vāpy avāpnuyāt | Manu_9.147b
devarād vā sapiṇḍād vā | Manu_9.59a
devarān apy apāsya tu | NarS_v12.50b
devarāya pradātavyā | Manu_9.97c
devartviksnātakācārya | YajñS_1.152a
devarṣipitṛtarpaṇam | Manu_2.176b
devarṣipitṛsevitān | Manu_11.210d
devalokaṃ samāśritāḥ | YajñS_3.187b
devalokasya ca rtvijaḥ | Manu_4.182d
devavad divi modate | Manu_2.232d
devavipradhanaṃ tathā | BrhS_1.23.7b
deva śārṅgadhanurdhara | ViS_1.51b
devasṛṣṭo 'tisundaraḥ | Ang_1.586b
devasya tvā kuśodakam | ParS_11.33b
devasya pārśve tapanīyavarṇe | ViS_99.7d
devasvakavakāni ca | ParS_11.9d
devasvaṃ tad vidur budhāḥ | Manu_11.20b
devasvaṃ brāhmaṇasvaṃ vā | Manu_11.26a
devāḥ pitṛgaṇaiḥ saha | ParS_12.12b
devāḥ svarganivāsinaḥ | Kāty_006b
devāgāre kathaṃcana | ViS_68.47b
devāṅganāsahasrāṇi | ParS_3.35a
devātithiarcanakṛte | YajñS_1.216a
devānāṃ yugam ucyate | Manu_1.71d
devānāṃ vallabho bhava | Ang_1.602b
devānāṃ śṛṇvatāṃ cāpi | Ang_1.576c
devānāṃ śṛṇvatāṃ tadā | Ang_1.569b
devānāṃ sumahābhedas | Ang_1.228c
devān āgatamanyavaḥ | Manu_2.152b
devānāṃ caikaviṃśakam | ParS_2.12d
devānāmapi tadbhojyaṃ | Ang_1.238a
devānām api daivatam | Manu_11.84b
devānāmapi nārcanam | Ang_1.252b
devānām aśnatā haviḥ | Manu_11.95d
devānām eti sāmyatām | Manu_12.90b
devānāṃ purato vibhuḥ | Ang_1.590d
devānāṃ pratimāṃ yadi | Kāty_808b
devānāṃ priyam ācaran | Manu_9.95d
devān ugrān samabhyarcya | YajñS_2.112a
devān ṛṣīn manuṣyāṃś ca | Manu_3.117a
devān kuryur adevāṃś ca | Manu_9.315c
devān devanikāyāṃś ca | Manu_1.36c
devānnāni havīṃṣi ca | Manu_5.7d
devān pitṝṃś cārcayitvā | Manu_5.32c
devān pitṝn manuṣyāṃś ca | ViS_67.42a
devān pitṝn samabhyarcya | YajñS_1.179c
devān viprāṃś ca pūjayet | ParS_2.13d
devān viprān purohitān | BrhS_1.1.25d
devān viprān purohitān | Kāty_053d
devān saṃtarpya sa raso | YajñS_3.121c
devā brahmarṣayaś caiva | ViS_20.26c
devāya narakī bhavet | Ang_1.242b
devāya vinivedayet | Ang_1.244b
devāya vinivedayet | ViS_65.14d
devāribalasūdana | ViS_1.49d
devārthe prajapanti vai | Ang_1.799b
devālayeṣu dhvajabhūṣiteṣu | ViS_99.10d
devā vo 'rdhyamiti bruvan | Ang_1.796d
devāśca pitarastataḥ | Ang_1.887b
devāścāpi tathā punaḥ | Ang_1.891d
devāś caitān sametyocur | Manu_2.152c
devī strīrūpadhāriṇī | ViS_1.21b
devebhyaś ca hutād annāc | YajñS_1.103a
devebhyas tu jagat sarvaṃ | Manu_3.201c
deveśeśānayor madhya | BrhS_1.8.20a
devo vacanam abravīt | ViS_1.46d
deśaṃ rūpaṃ ca kālaṃ ca | Manu_8.45c
deśaḥ kālaśca saṃkalpe | Ang_1.270c
deśaḥ kālas tathā sthānaṃ | BrhS_1.2.37a
deśakālavayaḥśakti | YajñS_2.275c
deśakālavayaḥśaktyādy | Kāty_113a
deśakālavayodravya | BrhS_1.5.48a
deśakālavayodravya | BrhS_1.5.49a
deśakālavayodravya | NarS_v1.212a
deśakālavidhānena | Manu_7.87ma
deśakālavihīnaś ca | BrhS_1.2.19a
deśakālavihīnaś ca | Kāty_138a
deśakālavyavasthitaḥ | Manu_8.156b
deśakālātipattau ca | YajñS_2.169c
deśakālādyapekṣayā | Kāty_112b
deśakālārthadarśinaḥ | Manu_8.157b
deśakālārthasaṃkhyābhiḥ | BrhS_1.8.5e
deśakālārthasaṃbandha | Kāty_236c
deśakālārthasaṃbandha | NarS_v1.217c
deśakālau ca tattvataḥ | NarS_p19.45b
deśakālau ca tattvataḥ | Manu_7.10b
deśakālau ca tattvataḥ | Manu_8.126b
deśagrāmagṛhaghnāś ca | NarS_p19.5a
deśaṃ kālaṃ vayaḥ śaktiṃ | YajñS_3.293a
deśaṃ kālaṃ ca tattvataḥ | Manu_8.32b
deśaṃ kālaṃ ca bhogaṃ ca | YajñS_2.181a
deśaṃ kālaṃ ca yo 'tīyāl | YajñS_2.195a
deśaṃ kālaṃ ca saṃkīrtya | Ang_1.774a
deśaṃ kālaṃ tathātmānaṃ | YamS-78v_51a
deśaṃ kālaṃ diśaṃ jātiṃ | NarS_p19.16a
deśaṃ kālaṃ dhanaṃ saṃkhyāṃ | Kāty_399a
deśacihnavibhāvite | Kāty_445d
deśajātikulādīnāṃ | BrhS_1.1.126c
deśajātikulādīnām | NarS_v15-16.1a
'deśadātāpratiśrayaḥ | YamS-s_2.61d
deśadṛṣṭaḥ sa ucyate | Kāty_046d
deśadṛṣṭena sannayet | Kāty_045d
deśadṛṣṭes tathaiva ca | Kāty_038b
deśadharmakulādīnāṃ | BrhS_1.20.2a
deśadharmāñ jātidharmān | Manu_1.118a
deśadharmān apekṣya strī | NarS_v12.52a
deśanāpratighātaṃ ca | BrhS_1.7.69a
deśapattanagoṣṭheṣu | Kāty_047a
deśabhaṅge pravāse vā | ParS_7.36a
deśaś caiva tathā sthānaṃ | Kāty_127a
deśasthānasamāmāsa | BrhS_1.2.6a
deśasthityā tṛtīyas tu | BrhS_1.9.6c
deśasthityānumānena | BrhS_1.1.20a
deśasthityā pradātavyaṃ | BrhS_1.13.24c
deśasthityā pradātavyaṃ | Kāty_629c
deśasthityā baliṃ dadyur | BrhS_1.1.44a
deśasya jāteḥ saṅghasya | Kāty_884-2a
deśasyācaraṇān nityaṃ | Kāty_037c
deśasyānumatenaiva | Kāty_048a
deśācārayutaṃ varṣam | Kāty_268a
deśācāravidhis tv anyo | NarS_v1.90c
deśācāraviruddhaṃ yat | BrhS_1.6.58c
deśācāraviruddhaṃ yat | Kāty_270a
deśācārasthitiyutaṃ | Kāty_252c
deśācārasthitir yathā | Kāty_580d
deśācārahutaṃ varṣa | BrhS_1.6.3a
deśācārānabhijñā ye | BrhS_1.1.64a
deśācārāviruddhaṃ yad | NarS_v1.116a
deśācāreṇa cānyāṃs tu | Kāty_477c
deśācāreṇa dāpyāḥ syur | Kāty_588c
deśādikaṃ yasya rājā | BrhS_1.6.25c
deśādikaṃ kṣipan dāpyaḥ | BrhS_1.20.17a
deśād deśāntaraṃ yāti | YajñS_2.13a
deśādhvarūpataḥ pakṣaṃ | BrhS_1.10.76c
deśān alabdhāṃl lipseta | Manu_9.251c
deśānāṃ ca guṇāguṇān | Manu_9.331b
deśāntaragate prete | YajñS_2.264a
deśāntaragato vipraḥ | ParS_3.12a
deśāntaramṛtaḥ kaścit | ParS_3.11a
deśāntaramṛte tathā | ParS_3.10b
deśāntarasthe durlekhye | YajñS_2.91a
deśe kāle ca darśayet | BrhS_1.10.75b
deśe kāle na darśayet | Kāty_531b
deśe kāla upāyena | YajñS_1.6a
deśe deśe 'vatiṣṭhate | NarS_v1.91d
deśe na ca aśucau nārdre | ViS_70.17c
'deśe vā bhavato mithaḥ | NarS_v12.62b
deśe 'śucāv ātmani ca | YajñS_1.149a
deśe saṃbhāṣate mithaḥ | Manu_8.55b
dehaṃ karmanibandhanam | ViS_20.50d
dehatyāgo 'nupaskṛtaḥ | Manu_10.62b
dehatyāgo 'nupaskṛtaḥ | ViS_16.18b
dehanāśam anuprāptas | ParS_3.12c
dehanāśam anuprāptas | ParS_5.14a
dehabhedam avāpnoti | YamS-s_2.29c
dehasparśo vidhīyate | ParS_3.3d
dehāc caiva malāś cyutāḥ | Manu_5.132d
dehāc caiva malāś cyutāḥ | ViS_23.51d
dehād utkramaṇaṃ cāṣmāt | Manu_6.63a
dehārdhaṃ tasya jīvati | BrhS_1.26.93b
dehino 'smin yathā dehe | ViS_20.49a
dehīty uktasya saṃsadi | Manu_8.52b
dehī vindati vedanām | YajñS_3.143b
dehe kumāryāś ca tathā surāṇāṃ | ViS_99.14c
dehe tiṣṭhati dehinām | ParS_11.37d
dehendriyavināśe tu | Kāty_787a
deheṣu ca samutpattim | Manu_6.65c
daityadānavayakṣāṇāṃ | Manu_3.196a
daityendraniyutāni ca | ViS_20.25b
daivaṃ hi pitṛkāryasya | Manu_3.203c
daivakarmaṇi yukto hi | Manu_3.75c
daivakāryād dvijātīnāṃ | Manu_3.203a
daivajñam uditoditam | YajñS_1.313b
daivataskararājotthe | NarS_v3.06a
daivatāny abhigacchet tu | Manu_4.153a
daivataikyena kevalam | Ang_1.1031b
daivataikye pṛthaṅ na tu | Ang_1.1031d
daivaṃ dharmaṃ pracakṣate | Manu_3.28d
daivapātre 'bhighāryātha | Ang_1.813a
daivapitryātitheyāni | Manu_3.18a
daivapitryāthiteyāni | ViS_26.7a
daivapitryādi karma ca | ParS_7.16b
daivamānuṣakaṃ sukham | Manu_11.234b
daivaṃ paitṛkameva ca | Ang_1.778d
daivayogena cidvṛddher | Ang_1.40a
daivayogena vidvāṃsaḥ | Ang_1.1057a
daivarājakṛtaṃ doṣaṃ | Kāty_162a
daivarājakṛtād anyo | Kāty_593c
daivarājakṛtād ṛte | BrhS_1.10.75d
daivarājakṛtād ṛte | Kāty_531d
daivarājakṛtād ṛte | NarS_v1.110d
daivarājakṛtād ṛte | NarS_v6.10d
daivarājakṛtād ṛte | YajñS_2.59d
daivarājakṛtād bhavet | BrhS_1.13.8b
daivarājakṛtād vinā | Kāty_594d
daivarājakṛte tadvan | NarS_v2.06c
daivarājakṛte 'pi saḥ | Kāty_595b
daivarājakṛto doṣas | BrhS_1.3.41a
daivarājakṛto doṣas | Kāty_161a
daivarājapariplutāḥ | YajñS_2.163d
daivarājabhayād astu | BrhS_1.13.11a
daivarājavaśān nṛṇām | BrhS_1.19.42b
daivarājikam iṣyate | Kāty_751d
daivarājopaghāte ca | BrhS_1.10.41a
daivarājños tathā nyāye | BrhS_1.16.10a
daivasādhye pauruṣeyīṃ | Kāty_224e
daivājjīvanpravardhitaḥ | Ang_1.1048d
daivāt pūrvakṛtena vā | Manu_7.166b
daivāt pūrvakṛtena vā | Manu_11.47b
daivātsaṃprāptajīvanāḥ | Ang_1.1054d
daivād yady api śāstrataḥ | Kāty_068d
daivādyantaṃ tad īheta | Manu_3.205a
daivād vyāpāditā yadi | ParS_9.49b
daivikaṃ paitṛkaṃ ca yat | YamS-182v_5.12b
daivikaṃ paitṛkaṃ tathā | YamS-182v_5.7d
daivikānāṃ yugānāṃ tu | Manu_1.72a
daivikā vyādhayo nṛṇām | Kāty_458f
daivikīṃ varjayet kriyāṃ | Kāty_217b
daivikīṃ hīyate tataḥ | Kāty_217d
daivikī na ca mānuṣī | Kāty_616d
daivikīṃ tu vivarjayet | BrhS_1.8.47d
daivikī mānuṣī tathā | Kāty_216d
daivikī vadatāṃ nṛṇām | Kāty_219d
daivikī vā kriyā proktā | BrhS_1.4.20c
daivikī vā kriyā proktā | Kāty_233c
daivike nāsti nigrahaḥ | Manu_8.409d
daivikeṣu ca pitryeṣu | Ang_1.593a
daivīṃ vācaṃ vadanti tām | Manu_8.103d
daivī ca vividhā sthitiḥ | Manu_11.237b
daivī navavidhā kriyā | BrhS_1.4.7d
daivī navavidhā smṛtā | BrhS_1.8.2d
daive karmaṇi dharmavit | Manu_3.149b
daive caiveha karmaṇi | Manu_3.75b
daivena vidhinā yuktaṃ | Manu_7.207ma
daive pitrye ca karmaṇi | YamS-182v_3.43d
daive pitrye ca karmaṇi | ViS_64.40b
daive pitrye ca bhojakaḥ | YajñS_2.235b
daive pitrye ca bhojayet | Manu_3.129b
daive puruṣakāre ca | YajñS_1.349a
daive rātryahanī varṣaṃ | Manu_1.67a
daive rucitam ity api | Manu_3.254d
daive haviṣi pitrye vā | Manu_3.169c
daive haviṣi pitrye vā | Manu_3.240c
daivoḍhājaḥ sutaś caiva | Manu_3.38a
daivotpātavido bhadrāḥ | BrhS_1.22.2c
daihikānāṃ malānāṃ ca | Manu_5.134c
dolāyamānayoḥ sandhiḥ | BrhS_1.3.44c
doṣaṃ saṃśrayakāritam | Manu_7.176b
doṣaḥ syāt paradāravat | NarS_v12.78b
doṣakārī tu kartṛtvaṃ | Kāty_035a
doṣabhājas tad ardhataḥ | BrhS_1.23.22d
doṣam āropya yatnataḥ | Kāty_958d
doṣam āhur manīṣiṇaḥ | NarS_v15-16.13d
doṣam utpādayed api | BrhS_1.6.58b
doṣam ṛcchaty asaṃśayam | Manu_2.93b
doṣavaktānumodakaḥ | BrhS_1.23.16d
doṣavaktranumokakaḥ | Kāty_833d
doṣavat karaṇaṃ yat syād | NarS_v10.7a
doṣas tv anyathā damaḥ | YajñS_2.288b
doṣāḥ prāṇasya nigrahāt | Manu_6.71d
doṣānurūpaṃ saṃgrāhyaḥ | Kāty_206a
doṣān viṣayasaṅgajān | Manu_12.18b
doṣāya bhojanatyāga | Ang_1.300c
doṣe kṛte tena nareṇa kartā | YamS-s_1.43b
doṣeṇaiva tu dūṣaṇam | BrhS_1.6.34b
doṣeṇaiva tu dūṣayet | Kāty_278b
doṣeṇaiva tu dūṣayet | Kāty_380b
doṣe tu sati nāgaḥ syād | NarS_v12.31c
doṣeṣv eteṣu somapāḥ | YamS-s_2.53b
doṣaiḥ prayāti jīvo 'yaṃ | YajñS_3.131c
doṣair mātus tathaiva ca | YajñS_3.163b
doṣaiś cānye 'pi ye vṛtāḥ | Manu_8.77d
doṣo bhavati viprāṇāṃ | Manu_10.103c
doṣo bhavet tathā nyāse | BrhS_1.11.8c
doṣo mithyābhiyoginaḥ | NarS_m1.50b
doṣo 'yaṃ śrāddhakarmaṇaḥ | Ang_1.274b
doṣo yatra vibhāvayet | Kāty_776d
dohyapuṃsāṃ parīkṣaṇam | BrhS_1.18.6d
dohyapuṃsāṃ parīkṣaṇam | YajñS_2.177d
dohyābharaṇakarmiṇaḥ | Kāty_842b
dohyābharaṇakarmiṇām | Kāty_898b
daurātmyād aprakurvatī | YamS-99v_18b
daurbalyaṃ khyāpyate rājñaḥ | Manu_8.171c
daurbalye svasya saṃjāte | Ang_1.314c
dauścarmyaṃ gurutalpagaḥ | Manu_11.49d
dauhitra eva ca hared | Manu_9.131c
dauhitraṃ viṭpatiṃ bandhum | Manu_3.148c
dauhitraḥ kutapastilāḥ | Ang_1.906b
dauhitraḥ kutapas tilāḥ | Manu_3.235b
dauhitrā dhanam āpnuyuḥ | BrhS_1.26.128d
dauhitro 'pi hy aputraṃ | ViS_15.47c
dauhitro 'pi hy amutrainaṃ | Manu_9.139c
dauhitro yadi dattaḥ syād | Ang_1.420c
dauhitro vā punaḥ smṛtaḥ | Ang_1.944b
dauhitro hy akhilaṃ riktham | Manu_9.132a
dauhṛdasyāpradānena | YajñS_3.79a
djarmodyatān abhyudaye | BrhS_1.1.151a
dyūtaṃ samāhvayaṃ caiva | Manu_9.221a
dyūtaṃ samāhvayaṃ caiva | Manu_9.224a
dyūtakaḥ śaṭikāgrāhī | BrhS_1.5.2a
dyūtaṃ kṛṣiṃ vāṇijyāṃ ca | YajñS_1.262c
dyūtaṃ ca janavādaṃ ca | Manu_2.179a
dyūtadharmaṃ nibodhata | Manu_9.220d
dyūtaṃ niṣiddhaṃ manunā | BrhS_1.27.1a
dyūtaṃ naiva tu seveta | Kāty_933a
dyūtapānaprasaktāś ca | Manu_12.45c
dyūtam āhvaya eva ca | Manu_8.7b
dyūtam ekamukhaṃ kāryaṃ | YajñS_2.203a
dyūtam etat purā kalpe | Manu_9.227a
dyūtaṃ prakīrṇakaṃ caivety | NarS_m1.19c
dyūtastrīpānasaktāś ca | YajñS_2.267c
dyūtāhvānāntikāni ca | BrhS_1.10.2b
dyūte yasyākṣadevinaḥ | Kāty_938b
dyūte samāhvaye caiva | BrhS_1.4.18a
dyūte samāhvaye caiva | Kāty_228a
dyaur bhūmir āpo hṛdayaṃ | Manu_8.86a
draṃṣṭrābhir bhakṣitā ye ca | YamS-182v_4.31a
dravāṇāṃ caiva sarveṣāṃ | Manu_5.115a
draviṇaṃ rāṣṭram eva ca | Manu_7.136d
draviṇārhaś ca dhuryaś ca | Kāty_557c
dravyaṃ yas tu samāharet | Kāty_631b
dravyaṃ vijñeyam uttamam | NarS_v14.15d
dravyaṃ vinā tu prathamaṃ | BrhS_1.20.2c
dravyaṃ śraddhāsamanvitam | Manu_7.87mb
dravyaṃ śraddhāsamanvitam | YajñS_1.6b
dravyakālādisaṃbhavāḥ | Ang_1.900b
dravyaṃ gṛhītvā yal lekhyaṃ | Kāty_309a
dravyaṃ gṛhītvā vṛddhyarthaṃ | Kāty_516a
dravyajātyādibhedataḥ | Kāty_410f
dravyadātus tu saṃtatiḥ | Manu_11.5d
dravyaṃ tadīyaṃ saṃgṛhya | BrhS_1.10.51c
dravyaṃ tad aupanidhikaṃ | YajñS_2.65c
dravyaṃ dāyādabāndhavāḥ | YajñS_2.264b
dravyaṃ dravyaprayojanam | YamS-78v_51b
dravyaprakārā hi yathā | YajñS_3.216c
dravyapradānena samāsamena | YamS-s_1.49a
dravyapramāṇahīnaṃ yat | NarS_m2.11a
dravyabhāksvāmyudāhṛtaḥ | Kāty_807d
dravyam ajñānanāśitam | Kāty_597d
dravyam avyākṛtaṃ ca yat | NarS_v2.02b
dravyam asvāmivikrītaṃ | NarS_v7.2a
dravyaṃ brāhmaṇasaṃpattir | YajñS_1.217c
dravyalopeṣu kṛtsnaśaḥ | Ang_1.1099d
dravyaśuddhiṃ tathaiva ca | Manu_5.57b
dravyaśuddhis tathaiva ca | Manu_5.146b
dravyasaṃkhyānvitā deyā | BrhS_1.8.7c
dravyasaṃkhyāvivarjitaḥ | BrhS_1.2.19b
dravyasaṃkhyāvivarjitaḥ | Kāty_138b
dravyasaṃkhyodayaṃ pīḍāṃ | BrhS_1.2.6c
dravyasvaṃ pañcadhā kṛtvā | Kāty_700a
dravyahastaḥ kathaṃ cana | Manu_5.143b
dravyahastaḥ kathaṃcana | ViS_23.55b
dravyahānikaraṃ buddhaiḥ | BrhS_1.12.12d
dravyahānikaraṃ buddhaiḥ | BrhS_1.12.15b
dravyahānikaraṃ buddhaiḥ | Kāty_623d
dravyahṛd dāpyate tatra | Kāty_576c
dravyāṇāṃ śuddhim eva ca | Manu_1.113d
dravyāṇāṃ sthānayogāṃś ca | Manu_9.332c
dravyāṇāṃ kuśalā brūyur | YajñS_2.181c
dravyāṇām apakarṣaṇāt | NarS_v14.12d
dravyāṇām alpasārāṇāṃ | Manu_11.164a
dravyāṇām samatikramāt | NarS_v15-16.6b
dravyāṇi stenayen naraḥ | Manu_8.333b
dravyāṇi hiṃsyād yo yasya | Manu_8.288a
dravyāt svalpaṃ tu svāminā | Kāty_819b
dravyāpekṣaṃ manīṣibhiḥ | NarS_v14.12b
dravyāpekṣayā damās tatra | BrhS_1.23.3c
dravyārjanaṃ ca nāśaṃ ca | Manu_12.79c
dravye dve samudāhṛte | BrhS_1.18.2b
dravye pitāmahopātte | BrhS_1.26.14a
dravyeṣu triṣv anukramāt | NarS_v14.20d
dravyeṣv apahṛteṣu vā | NarS_v14.21b
dravyairvā vipulairviprān | Ang_2.10.19c
dravyopādānam ācaret | Manu_8.417b
draṣṭavyas tv atha mantavyaḥ | YajñS_3.191c
draṣṭavyo vyavahāras tu | YajñS_2.212c
